id,state_name,total_submitted_results,out_of_how_many,name_of_lga,polling_units_name,pu_sub_name,polling_units_count,pu_code
63f8fc4d594e164f814c63bf,YOBE,167443,176846,DAMATURU,KUKARETA/WARSALA,KUKARETA VIEWING CENTRE,10,35/03/06/008
63f8fc4d594e164f814c63bd,YOBE,167443,176846,DAMATURU,KUKARETA/WARSALA,KUKARETA PRI. SCH. II,10,35/03/06/009
63f8fc4d594e164f814c63bc,YOBE,167443,176846,DAMATURU,KUKARETA/WARSALA,"WARSALA,WARSALA PRI. SCH.",10,35/03/06/007
63f8fc4d594e164f814c63bb,YOBE,167443,176846,DAMATURU,KUKARETA/WARSALA,"TUMUR M. TUBO,TUMUR M.TUBO",10,35/03/06/006
63f8fc4d594e164f814c63b9,YOBE,167443,176846,DAMATURU,KUKARETA/WARSALA,"LADAN MUSARI , LADAN MUSARI'S GATE",10,35/03/06/004
63f8fc4d594e164f814c63be,YOBE,167443,176846,DAMATURU,KUKARETA/WARSALA,KUKARETA PRI. SCH  III,10,35/03/06/010
63f8fc4d594e164f814c63c0,YOBE,167443,176846,DAMATURU,MAISANDARI/WAZIRI IBRAHIM ESTATE,"FEDERAL POLYTECHNIC, FED-POLY DISPENSARY",19,35/03/07/001
63f8fc4d594e164f814c63c8,YOBE,167443,176846,DAMATURU,MAISANDARI/WAZIRI IBRAHIM ESTATE,DON ETIBET PRIM SCHOOL,19,35/03/07/009
63f8fc4d594e164f814c63ca,YOBE,167443,176846,DAMATURU,MAISANDARI/WAZIRI IBRAHIM ESTATE,BENKALIO ONE BEDROOM BOREHOLE,19,35/03/07/011
63f8fc4d594e164f814c63b6,YOBE,167443,176846,DAMATURU,KUKARETA/WARSALA,"DABUGU,DABUGU OPEN SPACE",10,35/03/06/001
63f8fc4d594e164f814c63ba,YOBE,167443,176846,DAMATURU,KUKARETA/WARSALA,GONI USMAN GATE,10,35/03/06/005
63f8fc4d594e164f814c63b8,YOBE,167443,176846,DAMATURU,KUKARETA/WARSALA,"KUKARETA,PRI. SCH.",10,35/03/06/003
63f8fc4d594e164f814c63c9,YOBE,167443,176846,DAMATURU,MAISANDARI/WAZIRI IBRAHIM ESTATE,BENKALIO COMMUNITY PRIM SCH,19,35/03/07/010
63f8fc4d594e164f814c63c1,YOBE,167443,176846,DAMATURU,MAISANDARI/WAZIRI IBRAHIM ESTATE,"FUGURI,FUGURI PRI. SCH.",19,35/03/07/002
63f8fc4d594e164f814c63c3,YOBE,167443,176846,DAMATURU,MAISANDARI/WAZIRI IBRAHIM ESTATE,"MAISANDARI , MAISANDARI PRI. SCH.",19,35/03/07/004
