id,state_name,total_submitted_results,out_of_how_many,name_of_lga,polling_units_name,pu_sub_name,polling_units_count,pu_code
63f8fc79594e164f814c7ec4,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,YARA DAN FILI,22,36/05/10/015
63f8fc79594e164f814c7ec9,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,RIBE G.D.S.S,22,36/05/10/020
63f8fc79594e164f814c7ec6,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,GIDAN BATURE D/FILI,22,36/05/10/017
63f8fc79594e164f814c7ec3,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,KAWARI / BAKIN GIDAN HAKIMI,22,36/05/10/014
63f8fc79594e164f814c7ebd,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,RIBE   / PRIMARY SCHOOL,22,36/05/10/008
63f8fc79594e164f814c7ebc,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,GIDAN ZAI/DUBEWA    /  DAN HILI,22,36/05/10/007
63f8fc79594e164f814c7ec0,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,SANKALAWA II    /  BAKIN G/HAKIMI,22,36/05/10/011
63f8fc79594e164f814c7eb8,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,KURA I   /  PRIMARY SCHOOL,22,36/05/10/003
63f8fc79594e164f814c7ec8,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,DUBEWA PRI.SCH,22,36/05/10/019
63f8fc79594e164f814c7eb7,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,SABON GIDA/KWAIRE   / PRIMARY SCHOOL,22,36/05/10/002
63f8fc79594e164f814c7ebe,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,YASHI/KWARE   /  BAKIN G/M/GARI,22,36/05/10/009
63f8fc79594e164f814c7ec2,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,RIBE II    /   B/G/HAKIMI,22,36/05/10/013
63f8fc79594e164f814c7eca,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,RUKA DAN FILI,22,36/05/10/021
63f8fc79594e164f814c7ebb,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,KURMI    /  BAKIN GIDAN M/ANGUWA,22,36/05/10/006
63f8fc79594e164f814c7eb6,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,SANKALAWA  I  /   PRIMARY SCHOOL,22,36/05/10/001
63f8fc79594e164f814c7ec7,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,SANKALAWA G.D.S.S,22,36/05/10/018
63f8fc79594e164f814c7ec1,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,KURA II  /  BAKIN GIDAN HAKIMI,22,36/05/10/012
63f8fc79594e164f814c7eba,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,BAKWANTA    /  PRIMARY SCHOOL,22,36/05/10/005
63f8fc79594e164f814c7ec5,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,BAREBARI KURA,22,36/05/10/016
63f8fc79594e164f814c7ecb,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,KURAJE PRI.SCH,22,36/05/10/022
63f8fc79594e164f814c7eb9,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,HOMAWA    /  BAKIN GIDAN MAI ANGUWA,22,36/05/10/004
63f8fc79594e164f814c7ebf,ZAMFARA,166177,176846,BUNGUDU,SANKALAWA,ZABORO  /  BAKIN GIDAN MAI UNGUWA,22,36/05/10/010
63f8fc79594e164f814c7eb4,ZAMFARA,166177,176846,BUNGUDU,SAMAWA,GINDI RUWA C/PRI.SCH,17,36/05/09/016
63f8fc79594e164f814c7eb3,ZAMFARA,166177,176846,BUNGUDU,SAMAWA,YAR BACHAKA,17,36/05/09/015
63f8fc79594e164f814c7eb0,ZAMFARA,166177,176846,BUNGUDU,SAMAWA,KWATTA DAN FILI,17,36/05/09/012
63f8fc79594e164f814c7eae,ZAMFARA,166177,176846,BUNGUDU,SAMAWA,DAN BINA / BAKIN LARABA   /   PRIMARY SCHOOL,17,36/05/09/010
63f8fc79594e164f814c7ea7,ZAMFARA,166177,176846,BUNGUDU,SAMAWA,BIRNIN GIDE   /  BAKIN GIDAN HAKIMI,17,36/05/09/003
63f8fc79594e164f814c7eaf,ZAMFARA,166177,176846,BUNGUDU,SAMAWA,KWATTA /GIDAN ZALLA   / DAN HILI,17,36/05/09/011
63f8fc79594e164f814c7eb2,ZAMFARA,166177,176846,BUNGUDU,SAMAWA,KWATTA DISPENSARY,17,36/05/09/014
63f8fc79594e164f814c7eab,ZAMFARA,166177,176846,BUNGUDU,SAMAWA,GIDAN GYARE  /  BAKIN GIDAN HAKIMI,17,36/05/09/007
63f8fc79594e164f814c7ea5,ZAMFARA,166177,176846,BUNGUDU,SAMAWA,SAMAWA GABAS  /  OFISHIN MAI GARI,17,36/05/09/001
63f8fc79594e164f814c7eb5,ZAMFARA,166177,176846,BUNGUDU,SAMAWA,YAR SAMAWA D/MARKE,17,36/05/09/017
