id,state_name,total_submitted_results,out_of_how_many,name_of_lga,polling_units_name,pu_sub_name,polling_units_count,pu_code
63f8f2cc594e164f8146d632,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',KOFAR BABA AUDU/ ABUJA ROAD NEAR YERIMA'S HOUSE,30,02/21/06/004
63f8f2cc594e164f8146d633,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',KOFAR BAMANGA YAHYA/ SHEHU STREET,30,02/21/06/005
63f8f2cc594e164f8146d634,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',KOFAR BAYI/ EASTERN LAMIDO'S PALACE. I,30,02/21/06/006
63f8f2cc594e164f8146d635,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',KOFAR BAYI/ EASTERN LAMIDO'S PALACE. II,30,02/21/06/007
63f8f2cc594e164f8146d639,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',KOFAR MODIBBO ZELANI/ NEAR MODIBBO ZELANI MOSQUE,30,02/21/06/011
63f8f2cc594e164f8146d63b,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',KOFAR UMARU NGAUDERE/ NEAR DAMARE POLICE STATION,30,02/21/06/013
63f8f2cc594e164f8146d636,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',KOFAR KHADI BAMANGA/ SHEHU STREET,30,02/21/06/008
63f8f2cc594e164f8146d642,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',DAMARE PRIMARY SCHOOL IX,30,02/21/06/020
63f8f2cc594e164f8146d646,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',KOFAR BAYI III,30,02/21/06/024
63f8f2cc594e164f8146d637,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',KOFAR MAI MANDARA/ ABUJA ROAD,30,02/21/06/009
63f8f2cc594e164f8146d629,ADAMAWA,167443,176846,YOLA SOUTH,NGURORE,WURO YANKA III PRIMARY SCHOOL II,31,02/21/05/026
63f8f2cc594e164f8146d641,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',DAMARE PRIMARY SCHOOL VIII,30,02/21/06/019
63f8f2cc594e164f8146d647,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',KOFAR BAYI IV,30,02/21/06/025
63f8f2cc594e164f8146d618,ADAMAWA,167443,176846,YOLA SOUTH,NGURORE,KOFAR JAURO MBOI/ OFF GODUWO ROAD,31,02/21/05/009
63f8f2cc594e164f8146d610,ADAMAWA,167443,176846,YOLA SOUTH,NGURORE,GODUWO PRI. SCH./ GODUWO VILLAGE,31,02/21/05/001
63f8f2cc594e164f8146d63e,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',DAMARE PRIMARY SCHOOL V,30,02/21/06/016
63f8f2cc594e164f8146d62f,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',DAMARE PRI. SCH./ DAMARE WARD YOLA. I,30,02/21/06/001
63f8f2cc594e164f8146d61b,ADAMAWA,167443,176846,YOLA SOUTH,NGURORE,KOFAR MAI ANGUWA TOUNGO/ TOUNGO WARD NGURORE,31,02/21/05/012
63f8f2cc594e164f8146d611,ADAMAWA,167443,176846,YOLA SOUTH,NGURORE,KOFAR ARDO WURO YANKA/ NEAR NGURORE MARKET,31,02/21/05/002
63f8f2cc594e164f8146d640,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',DAMARE PRIMARY SCHOOL VII,30,02/21/06/018
63f8f2cc594e164f8146d630,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',DAMARE PRI. SCH./ DAMARE WARD YOLA. II,30,02/21/06/002
63f8f2cc594e164f8146d63c,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',YELWA PRI. SCH./ AFTER YERIMA'S HOUSE,30,02/21/06/014
63f8f2cc594e164f8146d623,ADAMAWA,167443,176846,YOLA SOUTH,NGURORE,WURO YANKA DISPENSARY,31,02/21/05/020
63f8f2cc594e164f8146d622,ADAMAWA,167443,176846,YOLA SOUTH,NGURORE,WURO YANKA 1 PRIMARY SCHOOL III,31,02/21/05/019
63f8f2cc594e164f8146d648,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',DAMARE AREA COURT III,30,02/21/06/026
63f8f2cc594e164f8146d649,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',YELWA PRIMARY SCHOOL VI,30,02/21/06/027
63f8f2cc594e164f8146d64a,ADAMAWA,167443,176846,YOLA SOUTH,MAKAMA 'A',DAMARE PRIMARY SCHOOL XI,30,02/21/06/028
63f8f2cc594e164f8146d61a,ADAMAWA,167443,176846,YOLA SOUTH,NGURORE,KOFAR MAI ANGUWA NASSARAWO/ NASSARAWO WARD NGURORE,31,02/21/05/011
63f8f2cc594e164f8146d61c,ADAMAWA,167443,176846,YOLA SOUTH,NGURORE,KOFAR SALIHU BANENNE/ ANGUWAN YANDANG,31,02/21/05/013
