state_name,total_submitted_results,out_of_how_many,number_of_lgas,number_of_wards,ward_name,polling_units,submitted_results,lga_url
ABIA,166094,176846,17,12,ABA NORTH (LGA: 01) - ABIA,503.0,387.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397a4d89fc3a883de0c0
ABIA,166094,176846,17,13,BENDE (LGA: 04) - ABIA,214.0,210.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0c3
ABIA,166094,176846,17,11,AROCHUKWU (LGA: 03) - ABIA,183.0,174.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0c2
ABIA,166094,176846,17,12,ABA SOUTH (LGA: 02) - ABIA,518.0,453.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0c1
ABIA,166094,176846,17,10,IKWUANO (LGA: 05) - ABIA,143.0,143.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0c4
ABIA,166094,176846,17,11,OHAFIA (LGA: 10) - ABIA,282.0,196.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0c9
ABIA,166094,176846,17,10,ISUIKWUATO (LGA: 08) - ABIA,149.0,149.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0c7
ABIA,166094,176846,17,10,ISIALA NGWA NORTH (LGA: 06) - ABIA,185.0,183.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0c5
ABIA,166094,176846,17,10,ISIALA NGWA SOUTH (LGA: 07) - ABIA,194.0,194.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0c6
ABIA,166094,176846,17,10,OSISIOMA (LGA: 11) - ABIA,301.0,255.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0ca
ABIA,166094,176846,17,10,UKWA EAST (LGA: 13) - ABIA,85.0,85.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0cc
ABIA,166094,176846,17,10,UGWUNAGBO (LGA: 12) - ABIA,160.0,160.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0cb
ABIA,166094,176846,17,11,OBINGWA (LGA: 09) - ABIA,312.0,239.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0c8
ABIA,166094,176846,17,12,UMUAHIA NORTH (LGA: 15) - ABIA,378.0,360.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0ce
ABIA,166094,176846,17,10,UKWA  WEST (LGA: 14) - ABIA,129.0,109.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397b4d89fc3a883de0cd
