id,state_name,total_submitted_results,out_of_how_many,name_of_lga,polling_units_name,pu_sub_name,polling_units_count,pu_code
63f8f327594e164f8146f89d,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"OPEN SPACE, IKOT ADIA",13,03/26/09/013
63f8f327594e164f8146f89c,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"TOWN HALL, UTU IKOT OBIO EKPE",13,03/26/09/012
63f8f327594e164f8146f89b,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"OPEN SPACE, IKOT OBIO ADUAK",13,03/26/09/011
63f8f327594e164f8146f89a,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"TOWN HALL, IKOT AKPAN ESSIEN",13,03/26/09/010
63f8f327594e164f8146f899,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"VILLAGE SQUARE, IKOT OBONG",13,03/26/09/009
63f8f327594e164f8146f898,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"VILLAGE HALL, IKOT USO ETOK",13,03/26/09/008
63f8f327594e164f8146f897,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"PRY SCH, EKA EDIENE",13,03/26/09/007
63f8f327594e164f8146f896,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"VILLAGE SQUARE, ETOK EDIENE",13,03/26/09/006
63f8f327594e164f8146f895,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"VILLAGE SQUARE, IKOT ADIA",13,03/26/09/005
63f8f327594e164f8146f894,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"PRY SCH, UTU IKOT OBIO EKPE",13,03/26/09/004
63f8f327594e164f8146f893,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"VILLAGE SQUARE, IKOT AKPAN OTUK",13,03/26/09/003
63f8f327594e164f8146f892,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"VILLAGE SQUARE, IKOT OBIO ADUAK",13,03/26/09/002
63f8f327594e164f8146f891,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 11,"PRY SCH, IKOT AKPAN ESSIEN",13,03/26/09/001
63f8f327594e164f8146f8a5,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"TOWN HALL, OFFOT",16,03/26/10/008
63f8f327594e164f8146f8a6,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"VILLAGE SQUARE, EDIENE IKOT INYANG",16,03/26/10/009
63f8f327594e164f8146f8a7,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"PRY SCH, UKPOM",16,03/26/10/010
63f8f327594e164f8146f8a8,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"CIVIC CENTRE, IKOT ESENAM",16,03/26/10/011
63f8f327594e164f8146f8a9,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"MARKET SQUARE, IKOT ESENAM",16,03/26/10/012
63f8f327594e164f8146f8aa,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"OPEN SPACE, BY SECURITY VILLAGE, IKOT ESENAM",16,03/26/10/013
63f8f327594e164f8146f8ab,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"HEALTH CENTRE, IKOT ESENAM",16,03/26/10/014
63f8f327594e164f8146f8ac,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"COMMUNITY SECONDARY COMMERCIAL SCHOOL, IKOT INUEN",16,03/26/10/015
63f8f327594e164f8146f8ad,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"MARKET SQUARE, OFFOT",16,03/26/10/016
63f8f327594e164f8146f8a4,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"PRY SCH, IKOT INUEN",16,03/26/10/007
63f8f327594e164f8146f8a3,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"PRY SCH, IKOT AKPAKPAN",16,03/26/10/006
63f8f327594e164f8146f8a2,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"VILLAGE SQUARE, IKOT OBIOSAN",16,03/26/10/005
63f8f327594e164f8146f8a1,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"VILLAGE SQUARE, MANTA",16,03/26/10/004
63f8f327594e164f8146f8a0,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"SEC SCH, IKOT ESENAM",16,03/26/10/003
63f8f327594e164f8146f89f,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"VILLAGE HALL, IKOT ESENAM",16,03/26/10/002
63f8f327594e164f8146f89e,AKWA IBOM,166448,176846,ORUK ANAM,ABAK MIDIM 111,"PRY SCH, IKOT ESENAM",16,03/26/10/001
63f8f28b594e164f8146a839,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,ATANI II/MGBALA EKPE ATANI,15,01/03/11/002
63f8f28b594e164f8146a83b,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,AMANGWU /MGBALA EKPE HALL,15,01/03/11/004
63f8f28b594e164f8146a841,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,AMANGWU II/AMANGWU SQUARE,15,01/03/11/010
63f8f28b594e164f8146a83d,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,AMUVI II/ASCETAN COMM. HALL AMUVI,15,01/03/11/006
63f8f28b594e164f8146a846,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,"MGBALA EKPE II, AMANGWU",15,01/03/11/015
63f8f28b594e164f8146a838,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,ATANI I/ATANI HALL,15,01/03/11/001
63f8f28b594e164f8146a83f,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,ATANI AGBO/NDI MGBEKE HALL,15,01/03/11/008
63f8f28b594e164f8146a842,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,ASAGA III/ASAGA SQUARE,15,01/03/11/011
63f8f28b594e164f8146a83a,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,ATANI III & IV/NDI ELEKWA HALL ATANI,15,01/03/11/003
63f8f28b594e164f8146a83e,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,ASAGA I /MGBALA EKPE UMUOTI,15,01/03/11/007
63f8f28b594e164f8146a840,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,ASAGA II/MGBALA EKP UMUOTI,15,01/03/11/009
63f8f28b594e164f8146a83c,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,AMUVI I/AMUVI COMM. PRIM.SCH,15,01/03/11/005
63f8f28b594e164f8146a843,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,COMMUNITY SECONDARY SCH. AMUVI,15,01/03/11/012
63f8f28b594e164f8146a845,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,UMENTA HALL AMUVI,15,01/03/11/014
63f8f28b594e164f8146a844,ABIA,166448,176846,AROCHUKWU,AROCHUKWU III,MGBALA EKPE AMUVI,15,01/03/11/013
63f8f28b594e164f8146a833,ABIA,166448,176846,AROCHUKWU,ISU,IHEOSU/OBIMBA COMM..SCHOOL,7,01/03/10/003
63f8f28b594e164f8146a832,ABIA,166448,176846,AROCHUKWU,ISU,AMUKABI/HEALTH CENTRE ISU,7,01/03/10/002
63f8f28b594e164f8146a831,ABIA,166448,176846,AROCHUKWU,ISU,OBIEZE/OHABUIKE PRIM.SCH,7,01/03/10/001
63f8f28b594e164f8146a836,ABIA,166448,176846,AROCHUKWU,ISU,AMACHI/UTUGHAYI COMM. SCHOOL,7,01/03/10/006
63f8f28b594e164f8146a835,ABIA,166448,176846,AROCHUKWU,ISU,AMAKARAMA /HEALTH CENTRE,7,01/03/10/005
63f8f28b594e164f8146a834,ABIA,166448,176846,AROCHUKWU,ISU,ABA -ISU/UTUGHAIYI COMM.SCH,7,01/03/10/004
63f8f28b594e164f8146a837,ABIA,166448,176846,AROCHUKWU,ISU,"OBIEZE VILLAGE SQUARE, ISU",7,01/03/10/007
63f8f28b594e164f8146a830,ABIA,166448,176846,AROCHUKWU,UTUTU,AMAKOFIA VILLAGE SQUARE,24,01/03/09/024
63f8f28b594e164f8146a82e,ABIA,166448,176846,AROCHUKWU,UTUTU,ABUMA II/ABUMA HALL,24,01/03/09/022
63f8f28b594e164f8146a82d,ABIA,166448,176846,AROCHUKWU,UTUTU,OBIAGWULU III/NDEWENI VILLAGE SQUARE,24,01/03/09/021
63f8f28b594e164f8146a82c,ABIA,166448,176846,AROCHUKWU,UTUTU,EZIOHU SETTLEMENT/EZIOHUN SETTLEMENT SQUARE,24,01/03/09/020
