state_name,total_submitted_results,out_of_how_many,name_of_lga,polling_units_name,pu_sub_name,polling_units_count,pu_code
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,JODA INTERNATIONAL SCHOOL BAUCHI ROAD GRA,64,21/06/01/034
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,"HURUMI, HURUMI",16,33/03/06/007
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,LUGGAR DAUDA,16,33/03/06/012
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,RUDU MAKERA,16,33/03/06/001
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,MINISTRY FOR LOCAL GOVERNMENT AND CHIEFTAINCY AFFAIRS,64,21/06/01/047
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,MTN MAST WAZIRI UMARU MPS,64,21/06/01/049
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,RIMA QUARTERS G.R.A,64,21/06/01/032
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,HURUMI MPS,16,33/03/06/011
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,GIDAN MANDE,16,33/03/06/009
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,KADABALE RUNJIN GABAS/TSAMIYA,16,33/03/06/014
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,JINGILMAWA BAKIN ICCE,16,33/03/06/013
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,WAZIRI UMARU NIZZAMIYA (A) NASSARAWA,64,21/06/01/026
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,GIDAN BAKI FILIN MARIYA,64,21/06/01/064
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,NEW PRIME ACADEMY GOTAR ALIERO BAYAN KARA,64,21/06/01/041
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,AMANAWA DUTSI BAKIN TANKI,16,33/03/06/015
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,MAGAJIN RAFI BELLO MODEL PRIMARY SCHOOL JUNJU,64,21/06/01/024
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,GESSE BAYERO MPS RUGGAR FULANI,64,21/06/01/056
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,FEDERAL STAFF SCHOOL GESSE PHASE 2.,64,21/06/01/057
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,BULASA GARKAR DIKKO,64,21/06/01/017
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,WAZIRI UMARU CONVOCATION GROUND ENGINEERING,64,21/06/01/061
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,GRA G/DR. GULMA,64,21/06/01/007
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,CHINDO TEXTILE AHMADU BELLO WAY,64,21/06/01/044
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,BELLO WAY G/WAZIRI,64,21/06/01/012
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,ADMINISTRATIVE BLOCK NIZZAMIYA NASSARAWA,64,21/06/01/052
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,GEDA ACADEMY BULASA,64,21/06/01/062
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,BAYAN JAMA'A PURE WATER G/SHEHU UP BAYAN TASHA,64,21/06/01/036
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,SHIYAR ZABARAMAWA G/SARKI ZABARMAWA,64,21/06/01/006
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,OVERHEAD TANK KWANAR MALAM MAIDAHINI BAYAN TASHA,64,21/06/01/035
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,WAZIRI UMARU NIZZAMIYA WATER TANK,64,21/06/01/050
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,GOVERNMENT DAY SECONDARY SCHOOL JUNJU,64,21/06/01/025
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,OPPOSITE MASALLACIN TSOHUWA HANYAR UNGUWAR NARBA BAYAN KARA,64,21/06/01/040
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,OVER HEAD TANK GRA BAUCHI ROAD,64,21/06/01/031
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,SHIYAR FADA MIYATTI ALLAH,64,21/06/01/002
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,SHIYAR FADA COUNCIL CHAMBERS,64,21/06/01/001
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,ALBARKA GUEST INN BAYAN GIDAN ALHAJI INUWA,64,21/06/01/045
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,DALBEJIYAR KWANAR MASALLACIN MAIGISHIRI BAYAN FILIN SUKUWA,64,21/06/01/038
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,SHIYAR FADA G/NA GAMBO,64,21/06/01/063
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,BELLO WAY G/SAIDU MAIGISHIRI,64,21/06/01/013
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,ISLAMIC CENTER LIBRARY,64,21/06/01/023
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,BELLO WAY G/ABDU HAFIZI,64,21/06/01/011
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,SHIYAR ZABARMAWA G/MAMMAN NASS.,64,21/06/01/004
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,ADMINISTRATIVE BLOCK MIN FOR LOCAL GOVERNMENT,64,21/06/01/048
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,PERM SITE  GESSE QUARTERS,64,21/06/01/015
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,RAHAMA SUYA SPOT GESSE PHASE 1,64,21/06/01/060
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,BOREHOLE BAYAN GIDAN MAGAJIN RAFI,64,21/06/01/027
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,NURSING QUARTERS GARKAR GARBA KOKO,64,21/06/01/018
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,GOVERNMENT DAY SECONDARY SCHOOL GWADANGAJI QUARTERS,64,21/06/01/053
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,ALHUSNAH COMPREHENSIVE SCIENCE ACADEMY TSOHUWAR KASUWA,64,21/06/01/043
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,BAYAN GIDAN SARKI G/LABA,64,21/06/01/021
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,KASUWA G/ SARKIN FAWA,64,21/06/01/010
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,SHIYAR FADA G/UMARU JUNJU,64,21/06/01/003
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,MASSALACIN GWADAN GWAJI,64,21/06/01/014
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,REACH FOR THE STARS ACADEMY GESSE PHASE 1,64,21/06/01/059
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,"FILIN NASSARAWA, NASSARAWA",64,21/06/01/028
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,BARR BELLO MOHAMMED RILISCO MPS BAYAN TASHA,64,21/06/01/037
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,SHIYAR NASSARAWA G/SHANTALI,64,21/06/01/051
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,MOBIL KWANAR YAN TIFA,64,21/06/01/055
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,SHIYAR ZABARMAWA G/NATSAFE,64,21/06/01/005
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,NIZZAMIYA OVER HEAD TANK NASSARAWA,64,21/06/01/030
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,GARKAR SUNDAY A. Z.,64,21/06/01/016
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,CYBER CAFE COLLEGE OF NURSING SCIENCE BIRNIN KEBBI,64,21/06/01/019
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,ZANNAN GWANDU MPS GESSE PHASE 1,64,21/06/01/058
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,NIPOST TERRITORIAL HEAD QUARTERS GESSE PHASE 1,64,21/06/01/033
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,ABDULLAHI FODIO ISLAMIC CENTER AUDITORIUM HALL,64,21/06/01/022
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,BAYAU / TASHA G/UMARU SABON GARI,64,21/06/01/009
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,TITIN YAN TARIKITA YAR KAIWA WURIN BA'ARE BAYAN KARA,64,21/06/01/039
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,OFFICE OF THE SECRETARY COUNCIL OF CHIEFS,64,21/06/01/020
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,IGBEDI,BOUTORU TOWN HALL,10,06/03/11/010
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,IGBEDI,ADIEBIRI TOWN HALL,10,06/03/11/009
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,IGBEDI,OKPOTULUBO TOWN HALL,10,06/03/11/008
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OKOLOBA (SABAGREIA) II,IGBANIBO GBENE,10,06/03/10/009
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OKOLOBA (SABAGREIA) II,IGBANIBO SQUARE,10,06/03/10/010
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OKOLOBA (SABAGREIA) II,BURUDANI TOWN HALL,10,06/03/10/008
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,IGBEDI,ORUBIRI TOWN HALL,10,06/03/11/007
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,IGBEDI,FOUEBIRI PRI SCHOOL,10,06/03/11/006
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,IGBEDI,GBAGBAWARI TOWN HALL I,10,06/03/11/001
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OKOLOBA (SABAGREIA) II,ABADANI TOWN SQUARE,10,06/03/10/007
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OKOLOBA (SABAGREIA) II,OPU-ABADANI TOWN HALL,10,06/03/10/006
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OKOLOBA (SABAGREIA) II,ABADANI PRI. SCHOOL,10,06/03/10/005
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,IGBEDI,BALIBOU TOWN SQUARE,10,06/03/11/003
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,IGBEDI,GBAGBAWARI TOWN HALL II,10,06/03/11/002
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,IGBEDI,OGBOIN GBENE PRI. SCHOOL,10,06/03/11/005
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OKOLOBA (SABAGREIA) II,TAMU/ISEDANI OPEN SPACE,10,06/03/10/004
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OKOLOBA (SABAGREIA) II,ISEDANI OPEN SPACE,10,06/03/10/003
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OKOLOBA (SABAGREIA) II,OLODANI TOWN HALL II,10,06/03/10/002
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,IGBEDI,UBAKA TOWN SQUARE,10,06/03/11/004
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OKOLOBA (SABAGREIA) II,OLODANI TOWN HALL I,10,06/03/10/001
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,ZIPRE - BO - KALAMA,20,06/03/09/020
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,ABOBIRI TOWN HALL,20,06/03/09/019
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,KALAMA OWUGBENE,20,06/03/09/018
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,AMASEITIRI TOWN HALL,20,06/03/09/017
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,OPU - KALAMA TOWN SQUARE,20,06/03/09/016
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,OYOBO WAITING SHED II,14,06/03/08/012
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,TEIKIRI PLAYGROUND,14,06/03/08/014
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,ODUKURUGHA TOWN HALL,14,06/03/08/013
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,KALAMA TOWN SQUARE II,20,06/03/09/015
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,KALAMA TOWN SQUARE I,20,06/03/09/014
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,KALAMA TOWN HALL II,20,06/03/09/013
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,KALAMA TOWN HALL I,20,06/03/09/012
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,ODONBADE TOWN HALL,14,06/03/08/009
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,OYOBU WAITING SHED I,14,06/03/08/011
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,REST HOUSE TOWN HALL,14,06/03/08/010
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,AYA OGBO PRI. SCHOOL,14,06/03/08/008
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,DATU GBEBE-KALAMA TOWN HALL,20,06/03/09/011
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,AMATU TOWN HALL EGBEDANI,20,06/03/09/010
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,TOWN SQUARE TOWN HALL EGBEDANI,20,06/03/09/009
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,GBARANBIRI WAITING SHED TOWN HALL,14,06/03/08/005
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,EVIKAGBENE TOWN HALL,14,06/03/08/002
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,ORUOGBO TOWN HALL,14,06/03/08/007
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,KEMEBIAMA TOWN HALL,20,06/03/09/008
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,EGBEDANI TOWN HALL,20,06/03/09/007
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,ASEIBIRI TOWN HALL,20,06/03/09/006
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,ASEIBIRI AWOU TOWN,20,06/03/09/005
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,SIKI GBENE TOWN HALL,14,06/03/08/004
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,BARAWARE TOWN HALL,14,06/03/08/003
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,EWELIWARI TOWN SQUARE,14,06/03/08/001
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMASOUTH,PLAY GROUND TOWN HALL,14,06/03/08/006
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,FOUBIRI TOWN HALL,20,06/03/09/003
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,ASEIBIRI TOWN HALL,20,06/03/09/004
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,FOUBIRI MARKET SQUARE I,20,06/03/09/001
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SEIBOKOROGHA (SABAGREIA) 1,FOUTIRI MARKET SQUARE II,20,06/03/09/002
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SAMPOU/KALAMA,AYAKORO-AMA OPEN SPACE,11,06/03/06/011
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SAMPOU/KALAMA,SAMPOU GRAMMAR SCHOOL. SAMPOU,11,06/03/06/010
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SAMPOU/KALAMA,IZON-WARI TOWN HALL. SAMPOU,11,06/03/06/009
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SAMPOU/KALAMA,KALAMA TOWN SQUARE,11,06/03/06/008
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SAMPOU/KALAMA,SOUTHERN KALAMA TOWN HALL,11,06/03/06/007
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SAMPOU/KALAMA,KALAMA TOWN HALL,11,06/03/06/006
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SAMPOU/KALAMA,KALAMA NORTH TOWN SQUARE,11,06/03/06/005
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SAMPOU/KALAMA,SAMPOU NORTH TOWN HALL II,11,06/03/06/002
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SAMPOU/KALAMA,SAMPOU NORTH TOWN HALL I,11,06/03/06/001
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SAMPOU/KALAMA,KALAOWE OWEI,11,06/03/06/004
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,SAMPOU/KALAMA,IBABA WARI PRI.SCHOOL,11,06/03/06/003
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,IGBAINWARI TOWN SQUARE,14,06/03/07/014
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,IGBAINWARI TOWN HALL II,14,06/03/07/013
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,IGBAINWARI TOWN HALL I,14,06/03/07/012
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,EXPUWARI TOWN HALL,14,06/03/07/011
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,EXPUWARI VILLAGE SQUARE II,14,06/03/07/010
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,EXPUWARI VILLAGE SQUARE I,14,06/03/07/009
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,ABUWARI TOWN HALL,14,06/03/07/008
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,GBARANAMA TOWN SQUARE I,14,06/03/07/006
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,AYAKOROAMA TOWN SQUARE,14,06/03/07/005
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,ORUBIRI TOWN SQUARE,14,06/03/07/004
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,GBARANAMA TOWN SQUARE II,14,06/03/07/007
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,OFONIBIRI TOWN HALL,14,06/03/07/001
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,OFONIBIRI SQUARE,14,06/03/07/002
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,OPOKUMA NORTH,ORUBIRIB OGBO TOWN HALL,14,06/03/07/003
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,KAIAMA/OLOBIRI,COLLEGE KIRI SCH. HALL,16,06/03/05/016
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,KAIAMA/OLOBIRI,OLOBIRIGBENE TOWN HALL,16,06/03/05/015
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,KAIAMA/OLOBIRI,ETIEREBAU TOWN SQUARE,16,06/03/05/014
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,KAIAMA/OLOBIRI,NIGERIAWARI  TOWN SQUARE,16,06/03/05/013
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,KAIAMA/OLOBIRI,WANKA TOWN HALL,16,06/03/05/008
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,KAIAMA/OLOBIRI,EREWARI OPEN SPACE,16,06/03/05/007
BAYELSA,164279,176846,KOLOKUMA/OPOKUMA,KAIAMA/OLOBIRI,OLOBIRI TOWN HALL,16,06/03/05/010
