state_name,total_submitted_results,out_of_how_many,name_of_lga,polling_units_name,pu_sub_name,polling_units_count,pu_code
ABIA,164279,176846,UMUAHIA  SOUTH,AMAKAMA,UMUBIOKO / UMUELEM  -  AMAKAMA CENTRAL SCHOOL,11,01/16/07/006
ABIA,164279,176846,UMUAHIA  SOUTH,AMAKAMA,UMUOKOROUKWU/OBIZI - AMAKAMA CENTRAL SCHOOL I,11,01/16/07/005
ABIA,164279,176846,UMUAHIA  SOUTH,AMAKAMA,MKPUKE/UMUNGA - MKPUKE HALL,11,01/16/07/004
ABIA,164279,176846,UKWA  WEST,IPU   SOUTH,AMANAPIA VILL SQ. II,12,01/14/08/011
ABIA,164279,176846,UKWA  WEST,IPU   SOUTH,AMANAPIA VILL SQ. III,12,01/14/08/012
ABIA,164279,176846,UKWA  WEST,IPU   SOUTH,IMO RIVER II VILLAGE HALL,12,01/14/08/010
ABIA,164279,176846,UMUAHIA  SOUTH,AMAKAMA,UMUEBUBE UMUIGWE HALL,11,01/16/07/007
ABIA,164279,176846,UMUAHIA  SOUTH,AMAKAMA,PAPA UKWU HALL,11,01/16/07/009
ABIA,164279,176846,UMUAHIA  SOUTH,AMAKAMA,UMUBIOKO/UMUELEM - UMUBIOKO HALL,11,01/16/07/003
ABIA,164279,176846,UKWA  WEST,IPU   SOUTH,OKOHIA HEALTH CENTRE/OKOHIA,12,01/14/08/009
ABIA,164279,176846,UKWA  WEST,IPU   SOUTH,OKOHIA VILL. HALL/OKOHIA,12,01/14/08/008
ABIA,164279,176846,UKWA  WEST,IPU   SOUTH,TOWN  SCHOOL IMO RIVER / IMO RIVER II,12,01/14/08/005
ABIA,164279,176846,UMUAHIA  SOUTH,AMAKAMA,OBIZI AMAKAMA HALL,11,01/16/07/011
ABIA,164279,176846,UMUAHIA  SOUTH,AMAKAMA,MGBEDEALA HALL MKPUKE,11,01/16/07/010
ABIA,164279,176846,UMUAHIA  SOUTH,AMAKAMA,UMUOKOROKWU/OBIZI - AMAKAMA CENTRAL SCHOOL,11,01/16/07/001
ABIA,164279,176846,UKWA  WEST,IPU   SOUTH,CENTRAL SCHOOL IMO RIVER / IMO RIVER I,12,01/14/08/004
ABIA,164279,176846,UKWA  WEST,IPU   SOUTH,C.P.S OKOHIA / OKOHIA,12,01/14/08/003
ABIA,164279,176846,UKWA  WEST,IPU   SOUTH,UZUAKU  PRIMARY SCHOOL / UZUAKU I,12,01/14/08/001
ABIA,164279,176846,UMUAHIA  SOUTH,AMAKAMA,IHIE UMUIGWE - AMAKAMA CENTRAL SCHOOL,11,01/16/07/002
ABIA,164279,176846,UMUAHIA  SOUTH,AMAKAMA,UMUELEM HALL,11,01/16/07/008
ABIA,164279,176846,UKWA  WEST,IPU   SOUTH,AMANAPIA VILLAGE SQUARE/ANAPIA,12,01/14/08/006
ABIA,164279,176846,UKWA  WEST,IPU   SOUTH,UZUAKU VILLAGE HALL / UZUAKU II,12,01/14/08/002
ABIA,164279,176846,UKWA  WEST,IPU   SOUTH,UZUAKU HEALTH CENTRE/UZUAKU,12,01/14/08/007
KEBBI,164279,176846,DANDI,BANI ZUMBU,PRI SCH BANIZUMBU,14,21/08/01/014
KEBBI,164279,176846,DANDI,BANI ZUMBU,YALAWA   YALAWA,14,21/08/01/004
KEBBI,164279,176846,DANDI,BANI ZUMBU,TUNGAR BANKANI /TBANKONI,14,21/08/01/010
KEBBI,164279,176846,DANDI,BANI ZUMBU,TUNGAL KEKE/TKEKE MAIGARI,14,21/08/01/007
KEBBI,164279,176846,DANDI,BANI ZUMBU,ASIBITI BANIZUMBU,14,21/08/01/013
KEBBI,164279,176846,DANDI,BANI ZUMBU,MAIDAJI    MAIDAJI,14,21/08/01/012
KEBBI,164279,176846,DANDI,BANI ZUMBU,TUNGAR MAI GARI,14,21/08/01/008
KEBBI,164279,176846,DANDI,BANI ZUMBU,LALEBU      LALEBU,14,21/08/01/009
KEBBI,164279,176846,DANDI,BANI ZUMBU,GWASADI  GWASADI,14,21/08/01/002
KEBBI,164279,176846,DANDI,BANI ZUMBU,KOFO   KOFO,14,21/08/01/005
KEBBI,164279,176846,DANDI,BANI ZUMBU,GARKAR MAGAJI/GARKAR MAGAJI,14,21/08/01/001
KEBBI,164279,176846,DANDI,BANI ZUMBU,WASALE    WASALE,14,21/08/01/006
KEBBI,164279,176846,DANDI,BANI ZUMBU,TUNGAR NANKONI / T/NOMAU,14,21/08/01/011
KEBBI,164279,176846,DANDI,BANI ZUMBU,MASAMA    MASAMA,14,21/08/01/003
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,SHIYAR HAKIMI,16,33/03/06/006
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,KALAUSA RAFI,16,33/03/06/005
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,RUDU PRIMARY SCHOOL,16,33/03/06/004
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,SHIYAR  DIKKO,16,33/03/06/003
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,GIDAN JADA,16,33/03/06/002
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,GRA G/KINDI ZAURO,64,21/06/01/008
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,WAZIRI UMARU MPS NASSARAWA,64,21/06/01/029
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,EASTERN BYE-PASS M.P.S BAYAN OANDO,64,21/06/01/054
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,AMANAWA CAMP,16,33/03/06/008
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,FILI MAKARANTA,16,33/03/06/010
SOKOTO,164279,176846,DANGE/SHUNI,RUDU/AMANAWA,GUMA DAN FILI KUSA G,16,33/03/06/016
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,TSOHUWAR KASUWA WATER TANK,64,21/06/01/042
KEBBI,164279,176846,BIRNIN KEBBI,NASSARAWA - I,N.O.A OFFICE,64,21/06/01/046
