state_name,total_submitted_results,out_of_how_many,number_of_lgas,number_of_wards,ward_name,polling_units,submitted_results,lga_url
DELTA,166548,176846,25,10,WARRI SOUTH  WEST (LGA: 25) - DELTA,332,332,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39884d89fc3a883de192
DELTA,166548,176846,25,11,ETHIOPE  EAST (LGA: 05) - DELTA,220,189,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de17e
DELTA,166548,176846,25,10,BOMADI (LGA: 03) - DELTA,192,192,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de17c
DELTA,166548,176846,25,11,BURUTU (LGA: 04) - DELTA,233,233,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de17d
DELTA,166548,176846,25,13,ISOKO NORTH (LGA: 09) - DELTA,264,264,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de182
DELTA,166548,176846,25,11,ISOKO SOUTH (LGA: 10) - DELTA,257,250,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de183
DELTA,166548,176846,25,10,OSHIMILI - NORTH (LGA: 14) - DELTA,165,164,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de187
DELTA,166548,176846,25,14,IKA NORTH- EAST (LGA: 07) - DELTA,238,238,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de180
DELTA,166548,176846,25,10,NDOKWA WEST (LGA: 12) - DELTA,203,203,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de185
DELTA,166548,176846,25,11,OSHIMILI - SOUTH (LGA: 15) - DELTA,319,312,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39884d89fc3a883de188
DELTA,166548,176846,25,11,UGHELLI NORTH (LGA: 19) - DELTA,400,365,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39884d89fc3a883de18c
DELTA,166548,176846,25,11,ANIOCHA - SOUTH (LGA: 02) - DELTA,190,190,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de17b
DELTA,166548,176846,25,11,SAPELE (LGA: 17) - DELTA,268,249,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39884d89fc3a883de18a
DELTA,166548,176846,25,12,IKA - SOUTH (LGA: 08) - DELTA,169,169,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de181
DELTA,166548,176846,25,11,UGHELLI SOUTH (LGA: 20) - DELTA,244,243,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39884d89fc3a883de18d
DELTA,166548,176846,25,12,WARRI SOUTH (LGA: 24) - DELTA,351,339,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39884d89fc3a883de191
DELTA,166548,176846,25,10,ANIOCHA NORTH (LGA: 01) - DELTA,153,153,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de17a
DELTA,166548,176846,25,11,ETHIOPE  WEST (LGA: 06) - DELTA,220,217,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de17f
DELTA,166548,176846,25,10,UVWIE (LGA: 22) - DELTA,327,300,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39884d89fc3a883de18f
DELTA,166548,176846,25,10,OKPE (LGA: 13) - DELTA,236,231,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de186
DELTA,166548,176846,25,10,UDU (LGA: 18) - DELTA,265,257,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39884d89fc3a883de18b
DELTA,166548,176846,25,10,NDOKWA EAST (LGA: 11) - DELTA,158,154,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39874d89fc3a883de184
DELTA,166548,176846,25,10,PATANI (LGA: 16) - DELTA,99,98,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39884d89fc3a883de189
DELTA,166548,176846,25,10,WARRI  NORTH (LGA: 23) - DELTA,192,190,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39884d89fc3a883de190
DELTA,166548,176846,25,10,UKWUANI (LGA: 21) - DELTA,168,142,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39884d89fc3a883de18e
ZAMFARA,166548,176846,14,11,BUNGUDU (LGA: 05) - ZAMFARA,325,304,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39ad4d89fc3a883de3bc
ZAMFARA,166548,176846,14,10,BAKURA (LGA: 02) - ZAMFARA,189,175,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39ad4d89fc3a883de3b9
